Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover,Year,rating_encoded,currentRatio_sector_ratio,quickRatio_sector_ratio,cashRatio_sector_ratio,daysOfSalesOutstanding_sector_ratio,netProfitMargin_sector_ratio,pretaxProfitMargin_sector_ratio,grossProfitMargin_sector_ratio,operatingProfitMargin_sector_ratio,returnOnAssets_sector_ratio,returnOnEquity_sector_ratio,debtEquityRatio_sector_ratio,debtRatio_sector_ratio,macro_interest_proxy,profit_to_debt_leverage,REAL_MACRO_RATE
A,Altria Group,MO,Moody's Investors Service,2016-03-09,Consumer Non-Durables,0.859847415,1.109352925,0.334699068,0.0,0.206062751,0.317606354,0.436974129,0.328733192,0.161088059,0.317319401,1.819791667,0.781742739,12.83249243,10.296875,0.911479945,0.350953206,0.960585198,2.84599694,4.004079551,11.296875,0.317606354,15.18596669,2.962774095,0.228434379,19.35,2016,2,0.5350686781910539,1.1500532455314012,1.1910604412510095,0.0,2.8594423956395514,3.387652576576896,1.1841879484637234,2.857961911109172,2.0592743880487987,10.397340084493488,6.151102706953921,1.3445179910492353,0.395,0.2260724346224137,0.395
BBB,Altria Group,MO,Moody's Investors Service,2013-10-28,Consumer Non-Durables,0.933692264,1.364409181,0.449844148,0.0,0.185359274,0.283740701,0.427409466,0.330417723,0.130095528,0.249703248,1.100995387,0.701856049,12.06410256,7.462976451,0.881838263,0.346730049,0.970057143,2.123061531,4.817408704,8.462976451,0.283740701,9.885083173,2.188594297,0.178819586,17.61858191,2013,1,0.5810210937666104,1.4144670929153509,1.6008158391736678,0.0,2.572149327951892,3.026434782291492,1.15826797310583,2.872606995795608,1.663080370284214,6.29051318218698,4.4582006336562765,1.3007937435190715,0.1075,0.2101940682736254,0.1075
A,Altria Group,MO,Moody's Investors Service,2016-09-13,Consumer Non-Durables,0.98440678,3.040135593,0.619525424,0.0,0.553099751,0.848819142,0.450240833,0.34035115,0.310001742,0.566745338,1.115035239,0.560480711,13.14811032,2.596867659,0.721980319,0.348160351,0.95014508,1.845286885,11.48616803,3.596867659,0.848819142,16.56140977,1.942110656,0.147257613,18.22588235,2016,2,0.6125798896271748,3.1516731301584486,2.2046437992341787,0.0,7.675122599072161,9.053673886650548,1.2201403537664992,2.958966866668591,3.962917248578379,6.370729571033626,1.5513055841579113,1.0649883559193023,0.395,0.7660764091214912,0.395
BBB,Altria Group,MO,Moody's Investors Service,2013-04-30,Consumer Non-Durables,0.765361774,1.155859896,0.351472549,0.0,0.169794459,0.263100171,0.388455602,0.294621821,0.118316397,0.239197873,1.319444444,0.696821308,11.71170314,10.15183081,0.910328625,0.354176316,0.968229567,1.867094862,4.711956522,11.15183081,0.263100171,10.58930195,1.928359684,0.15854253,17.59866962,2013,1,0.4762718426642477,1.1982664802316068,1.2507505676698123,0.0,2.3561632185007646,2.806278781771387,1.052704066152211,2.5614022650916985,1.512501469946408,7.538617115155425,6.064456835295099,1.3428196865918018,0.1075,0.18651791139808,0.1075
BBB,Altria Group,MO,Moody's Investors Service,2014-11-10,Consumer Non-Durables,0.896389939,1.238628959,0.432816369,0.0,0.20675312,0.31702145,0.414321833,0.310741375,0.147063089,0.290052981,1.682149967,0.711298042,12.36611195,10.43828799,0.912574329,0.347826087,0.965043963,2.275025278,4.804853387,11.43828799,0.31702145,14.87018396,2.357431749,0.190155778,18.71394231,2014,1,0.5578084802458695,1.284072202998095,1.5402207676353608,0.0,2.8690223433868054,3.3814138741148847,1.122800845319608,2.7015434874483,1.8799857325553908,9.610927227099175,6.235579388042838,1.346132309592598,0.08916666666666667,0.2265578242249216,0.08916666666666667
A,Amgen Inc.,AMGN,Standard & Poor's Ratings Services,2013-09-13,Health Care,3.443689443,2.780671952,0.47879703,52.70962733,0.272060398,0.281912615,0.82083958,0.314146498,0.076839319,0.090498126,0.229951122,0.282434783,3.491493737,1.992623099,0.665844991,0.034947768,0.889842632,7.434262948,25.76494024,2.992623099,0.281912615,16.68575003,8.354581673,0.336849432,4.25158831,2013,2,2.080837889791832,2.598462256819519,1.810328436979577,1.0166772153058166,4.701328815529879,3.8873874524829857,1.219912421704697,2.7463801755003265,1.4326828850640665,1.625179767186625,1.312713563326077,1.0913384692641832,0.1075,0.4085880584771346,0.1075
BBB,Amgen Inc.,AMGN,Egan-Jones Ratings Company,2015-04-23,Health Care,4.953339041,4.219748858,0.532391553,46.31859642,0.257090166,0.278373125,0.779594278,0.308577979,0.074743874,0.090079192,0.200093103,0.290730195,3.841278958,1.677050198,0.62645452,0.07645479,0.882758621,9.949934124,35.60737813,2.677050198,0.278373125,17.20986841,11.27140975,0.426406819,3.648514851,2015,1,2.993038637223577,3.9432404577187854,2.0129689776973336,0.8934053229087697,4.442636320796533,3.838580239601828,1.1586146267728767,2.6976982061457075,1.3936129371889028,1.4141581903183291,1.1048183383993195,1.0267763911442096,0.1325,0.4103826438566705,0.1325
BBB,Amgen Inc.,AMGN,Fitch Ratings,2016-02-18,Health Care,4.444213684,3.966424368,0.478135456,50.46510018,0.320330533,0.36829471,0.804865663,0.391007294,0.096945904,0.126818102,0.247088986,0.302643344,4.414509884,1.548730549,0.607647815,0.130233141,0.928500606,11.11873351,41.40105541,2.548730549,0.36829471,13.53576669,11.97493404,0.419028714,4.380310881,2016,1,2.6854013339664977,3.706515616617122,1.8078270300151973,0.9733841827397998,5.53545895087217,5.078539087262413,1.1961723630545282,3.418324531880116,1.8075737688131257,1.7463016368402815,1.0202830623764343,0.9959516782995902,0.395,0.5271561149921193,0.395
BBB,Amgen Inc.,AMGN,Moody's Investors Service,2012-09-10,Health Care,3.81015749,3.244902942,0.397631547,53.23313061,0.251665219,0.290124529,1.0,0.323023458,0.080021364,0.108638602,0.227964323,0.317967513,3.241644762,1.848793284,0.64897418,0.132561389,0.882862972,6.700645161,31.04645161,2.848793284,0.290124529,13.41957989,7.589677419,0.340689256,3.224309392,2012,1,2.302274988060282,3.032273481870118,1.5034422769378524,1.0267746848550072,4.348890741354197,4.000624284557597,1.4861764118449272,2.823985710236255,1.4920126848375872,1.6111380634185233,1.2179603964798562,1.0636867405572754,0.14,0.387783287722052,0.14
A,Amgen Inc.,AMGN,Standard & Poor's Ratings Services,2016-08-10,Health Care,4.106569082,3.681720814,0.289271689,50.24683572,0.335870558,0.398547258,0.818972641,0.42599278,0.099476979,0.137951281,0.258476987,0.296176539,4.634347914,1.598359833,0.615141834,0.157262905,0.919161677,12.72326203,50.9157754,2.598359833,0.398547258,12.34293974,13.84224599,0.450350137,4.538713195,2016,2,2.4813807064521822,3.440467894260199,1.0937343629926282,0.9691742401802792,5.803997730729997,5.49570160232347,1.2171378210005437,3.7241800667734073,1.854766116175204,1.8267863444291448,1.0529781737989894,1.008234583982809,0.395,0.5459961905925164,0.395
BBB,EQT Corporation,EQT,Egan-Jones Ratings Company,2015-03-09,Energy,2.284788219,1.659926645,1.292688838,16302.49891,56.46651102,105.6049905,-14.80081716,124.5286736,0.032073619,0.064436281,0.084438276,0.000568011,0.000680076,1.632639546,0.620153089,0.295825267,0.876879318,8.185638028,7.109255508,2.632639546,105.6049905,5.253758293,9.334965326,206.4412666,0.243838343,2015,1,1.7459112322641634,1.7994269288511646,5.07155925380269,386.85277570528217,987.7381622644106,1419.536947422796,-17.123655765209087,1493.7987480662389,0.8384133545876458,0.8395462432337422,1.2503142302392454,1.0822625687934753,0.1325,91.05106708471004,0.1325
BBB,EQT Corporation,EQT,Egan-Jones Ratings Company,2013-11-01,Energy,2.398549894,2.312537017,1.615637836,9311.844298,42.26054966,56.39017529,1.0,70.82925774,0.039886631,0.05622808,0.096801121,0.000943827,0.001108983,1.426906445,0.587952802,0.336147579,-0.496900195,-3.961361191,6.472724375,2.426906445,56.39017529,6.785360336,7.972146586,129.8850898,0.0,2013,1,1.832841733976316,2.5068826956235424,6.338573349667581,220.9669102573616,739.2409572227235,757.9938875691957,1.156939889203326,849.6409178686775,1.0426476694104767,0.9624665652383156,1.0927589239000297,1.026068113033041,0.1075,71.87623012246276,0.1075
BB,EQT Corporation,EQT,Egan-Jones Ratings Company,2015-12-22,Energy,2.828556493,2.234413855,2.012055505,38.21038418,0.050386308,0.252349204,0.926625098,0.333147377,0.006094015,0.032363397,0.016773239,0.12094585,0.147346313,1.752411826,0.636682276,0.245392804,1.0,7.985275397,10.50690954,2.752411826,0.252349204,4.567717974,7.985275397,0.719929482,0.425415881,2015,0,2.161429453791502,2.422194060801489,7.893824418980088,0.9067194705795076,0.8813804566317363,3.392065252169427,1.0720495382131412,3.996309607236925,0.1592992533538991,0.1667716402607709,1.3420386935104538,1.1111085436019434,0.1325,0.0791376146677174,0.1325
BBB,EQT Corporation,EQT,Moody's Investors Service,2012-06-15,Energy,2.0997801,1.393378142,1.032725398,1639.292431,14.053811,22.2370672,1.0,25.23050559,0.054688746,0.095274498,0.133497967,0.003891382,0.005015641,1.441050077,0.590340235,0.368000696,-0.392254038,-2.403180893,6.481090018,2.441050077,22.2370672,4.957674094,6.126593124,26.81070947,0.0,2012,1,1.6045380623851893,1.5104776818540688,4.051654114200656,38.89985398103669,245.83572101762485,298.90953394596994,1.156939889203326,302.6555778188281,1.4295790877871215,1.3273330766984404,1.1035904539828294,1.030234550993656,0.14,23.805887025690776,0.14
BBB,EQT Corporation,EQT,Moody's Investors Service,2013-03-21,Energy,1.494999693,0.907859378,0.31913439,4697.766051,11.487316,18.89802693,1.0,29.47247103,0.020722922,0.036440697,0.050889057,0.001803983,0.002069266,1.455689241,0.592782351,0.349000852,-0.704764596,-3.866607851,2.088123835,2.455689241,18.89802693,7.512574053,5.486382077,51.41666145,0.0,2013,1,1.1423976780581324,0.984155906710726,1.252048382590874,111.47639674606133,200.94141093951657,254.02632331590425,1.156939889203326,353.54058671217143,0.5417029662564155,0.5059757097131846,1.1148014742676498,1.0344964192038322,0.1075,19.378313469500217,0.1075
BBB,EQT Corporation,EQT,Standard & Poor's Ratings Services,2011-04-11,Energy,1.38687134,0.265422524,0.0,49868.16478,198.5178727,309.6948561,1.0,410.1822145,0.03207748,0.054637009,0.073959884,0.000161585,0.000194075,1.305663827,0.566285428,0.358988796,-0.578914579,-3.164878373,0.012072713,2.305663827,309.6948561,7.572945931,5.46691772,688.5265911,0.0,2011,1,1.0597718554724618,0.2877286406889652,0.0,1183.3546544596206,3472.5658663041336,4162.902610750541,1.156939889203326,4920.390306792261,0.8385142822055134,0.7353625121645467,0.9999084407861896,0.9882552112508992,0.10166666666666667,350.5553159789946,0.10166666666666667
A,Target Corporation,TGT,Egan-Jones Ratings Company,2014-04-07,Consumer Services,1.167985176,0.472168769,0.046611075,29.08507387,0.040913494,0.062877723,0.310132195,0.062877723,0.062267716,0.135034572,0.181120908,1.521935926,2.391315695,1.908745018,0.656209123,0.349316555,0.384600939,3.12195122,1.195121951,2.908745018,0.062877723,8.75198341,8.117378049,0.072645666,7.166666667,2014,2,0.8694141246066985,0.5305253148577413,0.1394129348734559,1.0512017378855978,0.6365762002291385,0.7334242907257332,0.5582829222525797,0.5277881035333978,1.3312645488799606,1.5313521538799295,1.1136393142412735,1.0038427935507137,0.08916666666666667,0.0623473052918026,0.08916666666666667
A,Target Corporation,TGT,Egan-Jones Ratings Company,2015-01-05,Consumer Services,0.905768177,0.054394615,0.054159818,0.0,0.027150256,0.042743402,0.295277977,0.042743402,0.044239445,0.097652316,0.121434292,1.629430117,2.313595513,1.744932537,0.635692322,0.36480825,0.470398773,4.82992126,1.094488189,2.744932537,0.042743402,9.830003755,10.26771654,0.089812111,6.658857217,2015,2,0.6742274327487356,0.0611173845965246,0.1619910971714817,0.0,0.4224329215130922,0.4985716371290177,0.531543175891139,0.3587830157295238,0.9458256794038314,1.0267100947234888,1.0180644641252787,0.9724570018744156,0.1325,0.0427090716211038,0.1325
A,Target Corporation,TGT,Moody's Investors Service,2012-06-15,Consumer Services,1.709334657,0.17000993,0.057894737,0.0,0.043329871,0.066701291,0.321486867,0.066701291,0.066811578,0.133640553,0.188545231,1.541928841,2.643470757,1.822044295,0.645646951,0.350389321,0.596091823,4.345781466,2.36791148,2.822044295,0.066701291,7.475702994,7.290456432,0.078216353,6.901886792,2012,2,1.272378900873607,0.1910218920942494,0.1731621765620479,0.0,0.674172795840872,0.7780235146582158,0.578722978356331,0.5598826770511282,1.4284109159572882,1.5941237750179504,1.063054593497844,0.9876852000720212,0.14,0.0671097413771976,0.14
A,Target Corporation,TGT,Egan-Jones Ratings Company,2015-09-25,Consumer Services,1.20032379,0.317825494,0.188309475,0.0,-0.02252885,0.050304332,0.293866534,0.050304332,-0.039513091,0.123129298,-0.116882189,1.753888513,2.797519069,1.958062442,0.661940875,0.329592116,0.59765713,4.184542587,5.883280757,2.958062442,0.050304332,10.34851608,7.001577287,0.061128095,6.608841346,2015,2,0.893486046373798,0.3571063597265731,0.5632304462883483,0.0,-0.3505281100786021,0.5867645528056384,0.5290023738224181,0.4222485598881247,-0.8447776896934494,-0.9882226952801664,1.142413101062236,1.0126110013337983,0.1325,-0.0340340210291284,0.1325
A,Target Corporation,TGT,Standard & Poor's Ratings Services,2013-04-29,Consumer Services,1.151326381,0.055574998,0.04199622,0.0,0.04192371,0.063780147,0.314964575,0.063780147,0.062813639,0.137773243,0.185133683,1.498284366,2.396823219,1.947348461,0.660711988,0.342684022,0.196172249,1.569955817,1.169366716,2.947348461,0.063780147,7.765673296,8.002945508,0.077778573,6.979728744,2013,2,0.8570138031218586,0.0624436541506377,0.1256099818292396,0.0,0.6522942286793775,0.7439504302001839,0.5669819069801567,0.5353629429012773,1.342936214118464,1.5652796098933766,1.1361621296956488,1.0107310985470184,0.1075,0.0634513619365124,0.1075
A,Target Corporation,TGT,Standard & Poor's Ratings Services,2011-04-27,Consumer Services,1.626556017,0.194226185,0.051469939,0.0,0.038067843,0.059243845,0.325825849,0.059243845,0.055868682,0.116605433,0.162116375,1.46760829,2.585324367,1.901739754,0.655379157,0.357438017,0.706002381,5.521276596,2.925531915,2.901739754,0.059243845,8.370564885,7.820478723,0.08998271,6.767316848,2011,2,1.2107608938041978,0.2182310959892032,0.1539457146986579,0.0,0.5923004974314686,0.6910376668536531,0.586533775137882,0.4972857652395678,1.1944551770494998,1.3706714634814905,1.1095521588991666,1.0025731443508012,0.10166666666666667,0.0580843344651184,0.10166666666666667
A,Medtronic plc,MDT,Egan-Jones Ratings Company,2015-03-17,Health Care,3.815434431,3.247346645,0.252383522,81.80035284,0.180241106,0.217877095,0.74519259,0.224228168,0.080779063,0.11774333,0.157640282,0.448172258,7.109113712,0.951499254,0.487573465,0.172739541,0.920145191,4.559285131,14.22940599,1.951499254,0.224228168,14.98248102,4.954962736,0.291620112,5.839622642,2015,2,2.305463562104703,3.0345570558126718,0.9542604449774068,1.577786813322257,3.1146492161669763,3.004380223589652,1.107487649539628,1.9602822227989845,1.506140118597511,1.114122838678708,0.6268350381199932,0.799146477242079,0.1325,0.3696620557056831,0.1325
A,Medtronic plc,MDT,Egan-Jones Ratings Company,2014-03-20,Health Care,4.519493671,3.761265823,0.232658228,81.99849307,0.208981314,0.256238698,0.751295961,0.265340567,0.099340974,0.142229402,0.185689036,0.475358166,6.662650602,0.869208934,0.465014327,0.184427194,0.907527317,4.423923402,10.97843199,1.869208934,0.265340567,10.89719483,4.874699989,0.297890295,6.058737151,2014,2,2.7308890156768943,3.514800540171992,0.8796792374540796,1.5816085944176774,3.611293229878676,3.5333612135298638,1.1165583355525663,2.3197014055678453,1.8522302785556235,1.312357433487925,0.5726232711036141,0.7621714222884262,0.08916666666666667,0.4493986698463627,0.08916666666666667
A,Medtronic plc,MDT,Egan-Jones Ratings Company,2013-06-21,Health Care,2.756200439,2.220010123,0.19773916,85.88235294,0.223492338,0.268598616,0.759700939,0.265323777,0.110213907,0.167193485,0.211359785,0.493144006,6.544278205,0.917723368,0.478548358,0.167931907,0.891722595,3.83051723,8.985282513,1.917723368,0.27780524,9.476804462,4.295637736,0.276198715,6.883185841,2013,2,1.6654249461983446,2.074539037308475,0.7476504698712406,1.6565215095204224,3.8620503991527046,3.703796261805084,1.129049615598242,2.319554621429106,2.054958064567734,1.493785475762606,0.604583934191806,0.7843540757200175,0.1075,0.467011670079326,0.1075
A,Medtronic plc,MDT,Egan-Jones Ratings Company,2015-09-29,Health Care,3.362476834,2.68091137,0.527962499,92.09219683,0.132027047,0.172054686,0.688613593,0.18587434,0.025073815,0.035749446,0.050253616,0.189914233,4.311768461,1.00422694,0.501054506,0.232644865,0.883516932,3.955251142,17.78995434,2.00422694,0.172054686,22.64100622,4.476712329,0.241942648,3.91863354,2015,2,2.0317654409740227,2.505238708152118,1.996222753508938,1.7762986188147567,2.281488099897648,2.3725196813108207,1.0234012787923832,1.6249794467236347,0.4675057780478593,0.3551674775092684,0.6615713355210092,0.8212422785890741,0.1325,0.2634931139983801,0.1325
BBB,Chesapeake Energy Corporation,CHK,Egan-Jones Ratings Company,2014-12-10,Energy,1.27375064,1.231963159,0.700665188,38.95470383,0.091499212,0.15273734,1.0,0.165958665,0.04704179,0.091722082,0.11341182,0.514122353,0.644348762,1.410873809,0.585212633,0.3575,-0.438713854,-3.084977238,7.567526555,2.410873809,0.15273734,3.139333542,7.031866464,0.22118276,0.0,2014,1,0.9733311520894474,1.3354973789562543,2.748894330608277,0.9243819236920094,1.6005462685220764,2.053087608403106,1.156939889203326,1.9907772149252565,1.22968552316181,1.1276221155830013,1.0804807495852162,1.0212860964737906,0.08916666666666667,0.1563494076279172,0.08916666666666667
B,Chesapeake Energy Corporation,CHK,Egan-Jones Ratings Company,2015-11-17,Energy,0.672998643,0.629579376,0.223880597,32.28494202,-1.15050141,-1.496239423,1.0,-1.482215606,-0.846056346,-1.396869514,-6.868568756,0.735380538,0.892712267,7.118334892,0.876822031,0.233689392,-1.917341977,-3.574018127,1.799093656,8.118334892,-1.496239423,-0.728231276,1.864048338,0.096678157,0.0,2015,0,0.5142690601873414,0.6824892451941529,0.8783426297846789,0.7661107357142649,-20.12509942386048,-20.11237473800129,1.156939889203326,-17.780096363341023,-22.11614907628684,-68.29226470105166,5.45139031630203,1.5301893685234425,0.1325,-1.312111521163168,0.1325
BBB,Chesapeake Energy Corporation,CHK,Egan-Jones Ratings Company,2014-03-21,Energy,0.662919311,0.641160471,0.151767906,46.32868731,0.041357249,0.082371758,1.0,0.11818805,0.017328036,0.039760664,0.045264145,0.418984252,0.471427802,1.61219131,0.617179647,0.380027739,-0.558300824,-3.944869832,2.012251149,2.61219131,0.082371758,5.776365648,7.065849923,0.263566777,0.0,2014,1,0.5065669813661272,0.6950436157570662,0.5954255235122227,1.0993640533024016,0.7234400069291129,1.1072370098378002,1.156939889203326,1.41773903168266,0.4529596984729254,0.4500487774991684,1.2346544843285638,1.077073454953427,0.08916666666666667,0.0670089804665825,0.08916666666666667
BBB,Chesapeake Energy Corporation,CHK,Egan-Jones Ratings Company,2013-03-12,Energy,0.470475583,0.413341845,0.045802745,66.53337122,-0.062439104,-0.079084118,1.0,-0.137544657,-0.01848069,-0.027556939,-0.049393025,0.295979429,0.331369225,1.672682895,0.625844128,0.390143737,0.804723299,3.550544323,0.536547434,2.672682895,-0.079084118,21.99578335,4.412130638,0.230350763,0.0,2013,1,0.3595119223895694,0.4480791057571246,0.1796962489547812,1.578814356963324,-1.0922135036207947,-1.0630447190404717,1.156939889203326,-1.6499335493588698,-0.483090395817022,-0.4911010805182747,1.2809803801581303,1.0921943075794185,0.1075,-0.0997662253974939,0.1075
