rating_numeric,rating_rolling_mean,rating_rolling_std,rating_momentum,is_downgrade,is_upgrade,macro_10y_treasury_rate,macro_fed_funds_rate,yield_curve_spread,currentRatio,quickRatio,debtRatio,netProfitMargin,returnOnAssets,returnOnEquity,approximated_ytm,target_rating,Name,Year
1,1.0,0.0,0.0,0,0,2.3508333333333336,0.1075,2.2433333333333336,1.514967826,1.077186111,0.574437705,0.088062058,0.156551665,0.36787015,39.7093,1,Lear Corporation,2013
1,1.0,0.0,0.0,0,0,2.540833333333333,0.08916666666666667,2.451666666666666,1.375345757,0.957894443,0.63438524,0.026573857,0.051783121,0.141633015,39.6548,1,Lear Corporation,2014
4,2.0,1.7320508075688772,3.0,0,1,2.1358333333333333,0.1325,2.0033333333333334,1.359239982,0.901485674,0.676640948,0.037930198,0.073484733,0.227254292,39.6296,4,Lear Corporation,2015
7,4.0,3.0,6.0,0,1,2.1358333333333333,0.1325,2.0033333333333334,1.376862173,0.987134076,0.688766506,0.040935897,0.079259606,0.254662841,39.6512,7,Lear Corporation,2015
4,5.0,1.7320508075688772,3.0,1,0,1.8416666666666668,0.395,1.4466666666666668,1.350763934,0.962150013,0.691210634,0.05254451,0.09848898,0.318951982,39.6758,4,Lear Corporation,2016
0,0.0,0.0,0.0,0,0,1.8025,0.14,1.6625,16.91706485,1.945354508,0.705454407,0.029785956,0.010071252,0.034192507,41.4256,0,Lennar Corporation,2012
0,0.0,0.0,0.0,0,0,1.8025,0.14,1.6625,17.9985499,2.003046367,0.670459746,0.165450096,0.065538554,0.198878751,41.4539,0,Lennar Corporation,2012
1,0.3333333333333333,0.5773502691896258,0.0,0,1,2.1358333333333333,0.1325,2.0033333333333334,64.47069078,7.298423492,0.627494942,0.082124864,0.049305667,0.13236241,41.4887,1,Lennar Corporation,2015
1,0.6666666666666666,0.5773502691896258,1.0,0,0,1.8416666666666668,0.395,1.4466666666666668,9.475390913,1.012472745,0.542628423,0.083273432,0.059357961,0.129780608,41.5157,1,Lennar Corporation,2016
1,1.0,0.0,1.0,0,0,1.8416666666666668,0.395,1.4466666666666668,36.70380953,3.348990141,0.608242971,0.084747026,0.055681091,0.142131698,39.5946,1,Lennar Corporation,2016
4,4.0,0.0,0.0,0,0,1.8025,0.14,1.6625,1.576540408,0.790713912,0.725743097,0.026728417,0.051767603,0.188755879,39.9246,4,"Lennox International, Inc.",2012
7,5.5,2.1213203435596424,0.0,0,1,2.1358333333333333,0.1325,2.0033333333333334,1.138592233,0.55934466,0.939531008,0.053815539,0.111058207,1.836614173,39.7967,7,"Lennox International, Inc.",2015
7,6.0,1.7320508075688772,0.0,0,0,2.1358333333333333,0.1325,2.0033333333333334,1.225673879,0.554212498,0.994898827,0.061115401,0.116646829,22.86666667,39.7431,7,"Lennox International, Inc.",2015
4,6.0,1.7320508075688772,0.0,1,0,1.8416666666666668,0.395,1.4466666666666668,1.132005402,0.584289894,0.978412771,0.076285149,0.157814009,7.310526316,39.8103,4,"Lennox International, Inc.",2016
0,0.0,0.0,0.0,0,0,2.540833333333333,0.08916666666666667,2.451666666666666,0.957697522,0.770703226,0.752050182,-0.006695637,-0.007632241,-0.030781392,41.3879,0,"Live Nation Entertainment, Inc.",2014
0,0.0,0.0,0.0,0,0,2.1358333333333333,0.1325,2.0033333333333334,1.127766276,0.896057303,0.783420873,-0.013223748,-0.015163915,-0.07001559,41.3626,0,"Live Nation Entertainment, Inc.",2015
0,0.0,0.0,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,1.086657394,0.851721141,0.833534636,0.000352127,0.000434933,0.002612752,41.3222,0,"Live Nation Entertainment, Inc.",2016
0,0.0,0.0,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,1.089048385,0.835579662,0.799073331,-0.004486504,-0.005280495,-0.026280708,41.35,0,"Live Nation Entertainment, Inc.",2016
4,4.0,0.0,0.0,0,0,1.8025,0.14,1.6625,1.161912613,0.295548228,0.973593964,0.057098002,0.070037987,2.652347652,39.3864,4,Lockheed Martin Corporation,2012
4,4.0,0.0,0.0,0,0,1.8025,0.14,1.6625,1.13986014,0.156149733,0.998991127,0.058178967,0.071009132,70.38461538,39.3848,4,Lockheed Martin Corporation,2012
4,4.0,0.0,0.0,0,0,2.540833333333333,0.08916666666666667,2.451666666666666,1.198651079,0.235341727,0.864098596,0.065721593,0.082375373,0.606140708,39.4977,4,Lockheed Martin Corporation,2014
7,5.0,1.7320508075688772,3.0,0,1,2.1358333333333333,0.1325,2.0033333333333334,1.109521238,0.13012959,0.908289051,0.079254386,0.097483344,1.062941176,39.5083,7,Lockheed Martin Corporation,2015
4,5.0,1.7320508075688772,0.0,1,0,2.1358333333333333,0.1325,2.0033333333333334,1.152308458,0.077541438,0.936960593,0.078145322,0.073379743,1.164029706,39.4807,4,Lockheed Martin Corporation,2015
7,7.0,0.0,0.0,0,0,1.8025,0.14,1.6625,1.568004793,1.568004793,0.750116086,0.075316769,0.014116086,0.056490576,40.6182,7,Loews Corporation,2012
0,0.0,0.0,0.0,0,0,1.8025,0.14,1.6625,4.708243728,6.827956989,0.532267863,-0.133613383,-0.084723585,-0.181136977,39.7417,0,Louisiana-Pacific Corporation,2012
1,0.5,0.7071067811865476,0.0,0,1,1.8416666666666668,0.395,1.4466666666666668,4.442744755,2.999562937,0.411333202,0.067072625,0.073749508,0.125282261,40.1266,1,Louisiana-Pacific Corporation,2016
0,0.0,0.0,0.0,0,0,2.3508333333333336,0.1075,2.2433333333333336,2.642699768,3.243709529,0.619872458,0.080911308,0.050745224,0.133495258,39.9272,0,Lsb Industries Inc.,2013
0,0.0,0.0,0.0,0,0,2.540833333333333,0.08916666666666667,2.451666666666666,2.697991073,1.863909518,0.618253218,0.02680373,0.017268174,0.045234628,39.9246,0,Lsb Industries Inc.,2014
